merchant_id,date,product,weekly_total_price,weekly_total_discount_price,weekly_total_discounts,merchant_name,merchant_area,category,display,description,total_orders,total_revenue,average_discount,most_ordered_item,least_ordered_item
M001,2024-07-21,"Hot Millbro, Hot 330 Helateh, Hot Ilusi Kopi, Kopi Jelly, Kopi Matcha, Chocoreo, Kentang Goreng, Paket Bento Ebi Furai, Paket Bento Ekkado, Paket Beff Teriyaki, Paket Mie Ayam, Hot Almara Kopi (kopi Susu Gula Aren), Ice Millbro, Kopi Charcoal, Hot Charcoal, Ice Lemon Tea, Ocean Blue, Paket Ngemil 1, Paket Chicken Blackpaper, Paket Mie Yamin Bakso",516500.0,0.0,0,"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Sajian Susu Coklat Milo Plus Espresso Dengan Racikan Khas 3 : 30 Kopi,20,516500.0,0.0,Hot Millbro,Hot Millbro
M001,2024-07-28,"Ice Almara Kopi (kopi Susu Gula Aren), Ice Hazelnut Latte, Paket Ngemil 3, Ice Ilusi Kopi, Ice Americano, Kopi Tarik, Ice Yakult Squash, Lemon Squash, Paket Mie Yamin, Hot Millsis, Ice Latte, Hot Cappucino, Hot Matcha, Hot Coklat, Ice Coklat, Paket Ngemil 2, Paket Mix Bento, Ice Millsis, Ice 330 Helateh, Ice Mocacino, Ice Frappucino, Hot Hazelnut Latte, Hot Vanilla Latte, Ice Vanilla Latte, Roti Bakar, Paket Bento Shrimp Roll, Hot Latte, Hot Mocacino, Hot Caramel Latte, Hot Lemon Tea, Kopi Beer, Teh Jelly, Chocomint, Hot Americano, Ice Cappucino, Ice Caramel Latte, Vietnam Drip, Ice Matcha, Ice Charcoal, Lychee Squash, Pisang Lumer Coklat, Paket Chicken Teriyaki, Paket Beff Blackpaper, Paket Mie Ayam Bakso",1022000.0,0.0,0,"330 Kopi, Ciledug",jakarta,Kopi/Minuman/Roti,Signature,Sajian Kopi Susu Gula Aren Yang Berbeda Dari Khalayak Umum,44,1022000.0,0.0,Ice Almara Kopi (kopi Susu Gula Aren),Ice Almara Kopi (kopi Susu Gula Aren)
M002,2024-07-21,"Chicken Steak Pops, Tenderloin Steak Beef Pop, Beef Steak, Steak Tuna Pepper, Steak Tuna Mushroom, Nasi, Spaghetty, Es Jeruk, Avocado Float, Milkshake Coklat, Milkshake Strawberry Spesial, Hemat 1, Chicken Double, Sirloin Double, Sirloin Steak Geprek, Steak Cumi, Milkshake Vanila, Milkshake Mocca, Chicken Drumstick",482000.0,0.0,0,"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,New Varian,"Chicken, Kentang, Mix Vegetable, Brown Sauce",19,482000.0,0.0,Chicken Steak Pops,Chicken Steak Pops
M002,2024-07-28,"Hemat Super 5, Rib Eye Import 175 Gram, Lemon Squash, Hemat Combo 3, Blackpepper, Chicken Steak Geprek, Tenderloin Steak Geprek, Lemon Tea, Capucino Float, Milkshake Coklat Spesial, Lemon Fresh, Hemat Combo 2, Sirloin Steak Beef Pops, Kuah Steak, Chicken Drumstick, Teh Tawar, Orange Float, Tenderloin Double, Chicken Mushroom, Milkshake Strawberry, Orange, Hemat Berdua, Hemat Combo 1, Chicken Crispy, Tenderloin Crispy, Sirloin Steak Crispy, Sirloin Import 175 Gram, Kentang Lokal, Es Tea Manis, Es Capucino, Chicken Pepper, Steak Dori Crispy, Frenchfries, Milkshake Vanila Spesial, Milkshake Mocca Spesial",1294000.0,0.0,0,"Abe Steak, Cibubur",jakarta,Aneka nasi/Minuman/Barat,Paket Hemat,5 Chicken Steak + 5 Es Teh Manis,35,1294000.0,0.0,Hemat Super 5,Hemat Super 5
M003,2024-07-21,"Lychee Popping Boba, Mango Juice, Ice Age Melt Down, Hot Tea, Hot Tea Sweet, Ice Chocolate, Ice Tea Sweet, Rib Eye Wagyu 6-7, Tenderloin Us, Sirloin Lokal, Battered Dory Spicy, Boneless Fried Chicken Regular, Grilled Chicken Steak, Mix Beef Rice, Abuba Signature Salad, Lychee Popping Boba, Crunchy Vegan Fried Chicken Reg, Orange Juice, Hot Chocolate, Hot Lemontea, Sirloin Wagyu 6-7, Tenderloin Local, Battered Dory Fish Regular, T-Bone Nz, Chicken Wings Crush Garlic, Chicken Pop Corn With Butter Rice, Spaghetti Bolognese Kids Meal, Grilled Meatball Vegetable & Potato, Beef Patty Steak, Beef Lasagna, Fettuccine Carbonara, Potato Wedges, Vegan Chicken Steak",2690600.0,0.0,0,"Abuba Steak, Cikarang",jakarta,Barat,New Menu,"Kandungan gizi dengan  Gramasi 1 gelas, Total Calorie : 115 Kcal, Carbohydrate : 26.5 g, Protein : 0.5 g, Fat : 0.4 g",33,2690600.0,0.0,Lychee Popping Boba,Mango Juice
M003,2024-07-28,"Vanilla Milkshake, Peach Tea, The Genjer, Tenderloin Wagyu, Lamb Chop Nz, Boneless Fried Chicken Spicy, Spaghetti Bolognese, Choco Volcano, Sourmint, The Passion, Sprite, Ice Lemontea, Sirloin Wagyu 4-5, Sirloin Nz, Fish Bite Regular, Chicken Wings Crush Hot, Veggie Fruit Salad With Sesame Dressing, Tartar Sauce, Vegan Chic Mix Rice, Oreo Fruit Blast, Soursop Juice, Strawbeery Milkshake, Chocolate Milkshake, Coca Cola, Ice Lemonade, Sweet Corn, Mix vegetables, Barbecue Sauce, Vegan Beef Steak, Peach Popping Boba, Lychee Tea, Fish Bite Spicy, Chicken Pop Corn Regular, Chicken Pop Corn Spicy, Creamy Fun Fries, Spicy Fun Fries, Mashed Potato, Mushroom Sauce, Blackpepper Sauce, Crunchy Vegan Fried Chicken Spicy, Vegan Beef Mix Rice, Tas ABUBA ( Max 5 Box ), Avocado Juice, Oreo Milkshake, Hot Lemonade, Tenderloin Nz, Rib Eye Us, Grilled Chicken Wings, Peach Popping Boba, Bread Pudding Classic, Guava Juice, Honeydew Juice, Strawberry Juice, Watermelon Juice, Mojito Classic, Air Mineral, Ice Tea, Rib Eye Wagyu 4-5, Sirloin Us, Rib Eye Nz, Salmon Steak, T-Bone Local, Grilled Meatball, Veggie Fruit Salad, French Fries Original, Vegan Chi-Pop",4265800.0,0.0,0,"Abuba Steak, Cikarang",jakarta,Barat,Milkshake,"Kandungan gizi dengan  Gramasi 1 gelas, Total Calorie : 402.7 Kcal, Carbohydrate : 53.4 g, Protein : 8.3 g, Fat : 18.1 g",66,4265800.0,0.0,Peach Popping Boba,Vanilla Milkshake
M004,2024-07-21,"tahu Jeletot, piscok Lumer, Tape Goreng, Es Nutri Sari ,Sweet Mango, Es Nutri Sari,Jeruk Peras, Es Nutri Sari,Anggur, Bakso Ceker Mercon",40000.0,0.0,0,Aneka Gorengan Siaga,jakarta,Jajanan/Minuman,Aneka Gorengan Siaga,tahu Isi sayuran + cabe Rawit,7,40000.0,0.0,tahu Jeletot,tahu Jeletot
M004,2024-07-28,"tahu Pong, Singkong Goreng, Combro Ranjau, Es Buah Segar, Es Nutri Sari,Blewah, Dimsum, Pisang Molen, Lonsay, bakwan Sayur, tempe Crispi, Es Pukat, Es Nutri Sari,Jeruk Nipis, Es Nutri Sari,Sweet Orange, Es Nutri Sari,Sirsak, Es Nutri Sari,Lemon Tea, Nutri Sari,Es Rujak, Es Capucino, ceker Mercon, Loncom, Es Nutri Sari,Es Cincau, Es Nutri Sari,Leci, Bakso Mercon, Gorengan Ubi, Pisang Goreng, Tempe Basah, Es Lemon Tea, risole, Cireng, Es Nutri Sari,Sweet Guava",146000.0,0.0,0,Aneka Gorengan Siaga,jakarta,Jajanan/Minuman,Aneka Gorengan Siaga,Tahu Tampa Isi,29,146000.0,0.0,tahu Pong,tahu Pong
M005,2024-07-21,"Nasi Goreng Sapi, Tiam MIE, Kwetiaw Sapi, Kwetiaw Kengci",159000.0,0.0,0,Arangsimpur,jakarta,Chinese,Nasi Goreng,"Nasi Goreng, Dengan Daging Sapi, Digoreng Menggunakan Tungku Arang, Seerq Di Bungkus Menggunakan Daun Simpur",4,159000.0,0.0,Nasi Goreng Sapi,Nasi Goreng Sapi
M005,2024-07-28,"Telur  CEPLOK, TiamMie",45000.0,0.0,0,Arangsimpur,jakarta,Chinese,Kwetiau,Telur Goreng,2,45000.0,0.0,Telur  CEPLOK,Telur  CEPLOK
